group,year,group_size
aa,1990,16
aa,1991,17
aa,1992,20
aa,1993,23
aa,1994,25
aa,1995,31
aa,1996,28
aa,1997,30
aa,1998,24
aa,1999,29
aa,2000,29
aa,2001,31
aa,2002,38
aa,2003,37
aa,2004,18
aa,2005,20
aa,2006,24
aa,2007,21
aa,2008,23
aa,2009,26
aa,2010,24
aa,2011,30
aa,2012,28
aa,2013,32
aa,2014,34
aa,2015,25
aa,2016,19
aa,2017,22
aa,2018,24
aa,2019,26
aa,2020,17
aa,2021,20
dt,2020,8
ce,2012,7
ce,2013,11
ce,2014,14
ce,2015,16
ce,2016,14
ce,2017,19
ce,2018,18
ce,2019,18
ce,2020,15
ce,2021,15
fl,2003,10
fl,2004,11
fl,2005,15
fl,2006,17
fl,2007,19
fl,2008,21
fl,2009,17
fl,2010,16
fl,2011,19
fl,2012,19
fl,2013,21
fl,2014,23
fl,2015,21
fl,2016,25
fl,2017,26
fl,2018,27
fl,2019,28
fl,2020,32
fl,2021,26
mi,2021,7
rr,1996,27
rr,1997,29
rr,1998,31
rr,1999,32
rr,2000,30
rr,2001,32
rr,2002,36
rr,2003,39
rr,2004,26
rr,2005,26
rr,2006,27
rr,2007,28
rr,2008,32
rr,2009,32
rr,2010,27
rr,2011,27
rr,2012,22
rr,2013,24
rr,2014,25
rr,2015,23
rr,2016,11
rr,2017,13
rr,2018,21
rr,2019,17
rr,2020,13
rr,2021,16
di,2012,10
di,2013,12
di,2014,11
di,2015,10
di,2016,8
di,2017,9
di,2018,10
di,2019,14
di,2020,15
di,2021,18
mk,2004,13
mk,2005,16
mk,2006,19
mk,2007,15
mk,2008,16
mk,2009,18
mk,2010,14
mk,2011,17
mk,2012,22
mk,2013,23
mk,2014,26
mk,2015,22
mk,2016,22
mk,2017,19
mk,2018,17
mk,2019,19
mk,2020,16
mk,2021,21
cu,2007,5
cu,2008,7
cu,2009,5
cu,2010,8
cu,2011,9
cu,2012,8
cu,2013,4
sp,2000,8
sp,2001,8
sp,2002,7
sp,2003,9
sp,2004,11
sp,2005,8
sp,2006,17
sp,2007,19
sp,2008,21
sp,2009,23
sp,2010,26
sp,2011,26
sp,2012,30
sp,2013,26
sp,2014,28
sp,2015,26
sp,2016,29
sp,2017,29
sp,2018,28
sp,2019,28
ff,2001,28
ff,2002,28
ff,2003,32
ff,2004,34
ff,2005,34
ff,2006,39
ff,2007,38
ff,2008,20
ff,2009,18
ff,2010,19
ff,2011,22
ff,2012,23
ff,2013,20
ff,2014,19
ff,2015,16
ff,2016,10
ff,2017,16
ff,2018,17
ff,2019,19
ff,2020,19
ff,2021,23
rf,2007,12
rf,2008,15
rf,2009,18
rf,2010,21
rf,2011,22
rf,2012,24
rf,2013,26
rf,2014,31
rf,2015,29
rf,2016,19
rf,2017,22
rf,2018,26
rf,2019,27
rf,2020,22
rf,2021,22
nm,2008,13
nm,2009,13
nm,2010,15
nm,2011,12
nm,2012,14
nm,2013,16
nm,2014,14
nm,2015,13
nm,2016,12
nm,2017,12
nm,2018,18
nm,2019,23
