"","group","year","id","group_size","hr_area_low","hr_area_mean","hr_area_high","hr_area_sd"
"1","aa",1991,"aa_1991",17,1.42646706329049,2.13516184648434,2.98451404791112,0.397460965464448
"2","aa",1992,"aa_1992",20,1.97739156683079,2.37336675792453,2.80494399855876,0.211110314216319
"3","aa",1993,"aa_1993",23,1.43578150443329,1.86130863976178,2.34122132391382,0.23097954578585
"4","aa",1997,"aa_1997",30,2.0203785925617,3.0010432239622,4.17265035476351,0.549048918929033
"5","aa",1999,"aa_1999",29,2.59607414158932,4.47916355783845,6.86740866495329,1.08962615391938
"6","aa",2001,"aa_2001",31,5.65223831306167,7.6775774508557,10.0082569443752,1.11122924268202
"7","aa",2002,"aa_2002",38,6.59437064304822,8.15979193032946,9.88942970675635,0.840576291762277
"8","aa",2003,"aa_2003",37,4.8614595518144,6.15912539715052,7.60798015964499,0.700643012201683
"9","aa",2004,"aa_2004",18,2.76367079559259,3.32013253440279,3.92687590817878,0.296735998108721
"10","aa",2005,"aa_2005",20,2.91865270499906,3.56181253452043,4.26805734978697,0.344235878772426
"11","aa",2006,"aa_2006",24,2.60948023025666,3.14558523611488,3.7310304465329,0.286109749050061
"12","aa",2007,"aa_2007",21,2.22305745575903,2.76559950480571,3.36648922378599,0.291691777557897
"13","aa",2008,"aa_2008",23,3.20889498926211,4.01940238560104,4.91979998190556,0.436455355266185
"14","aa",2009,"aa_2009",26,2.60795137676519,3.21512576162067,3.88488873950761,0.325749327230209
"15","aa",2010,"aa_2010",24,2.32062311344071,3.0214019017148,3.81323236306331,0.380767665720053
"16","aa",2011,"aa_2011",30,2.80149913628293,3.88983793336418,5.1540032819813,0.600128608596525
"17","aa",2012,"aa_2012",28,1.94933530584744,2.43565719677273,2.97532223836075,0.261731360335027
"18","aa",2013,"aa_2013",32,2.13436277404569,2.89243229927398,3.76392283864224,0.415704098111365
"19","aa",2014,"aa_2014",34,2.41571573995669,3.14099363585812,3.96002785678514,0.393957172660319
"20","aa",2015,"aa_2015",25,1.75816332436552,2.4381735406197,3.22763057016738,0.3748640933168
"21","aa",2016,"aa_2016",19,1.88411079240103,3.1170628316523,4.6553389958341,0.706945970263537
"22","aa",2017,"aa_2017",22,0.783054843325643,1.12929697367497,1.53793147896118,0.192570570315188
"23","aa",2018,"aa_2018",24,0.959748382341552,1.39486669727328,1.91004664531886,0.242423026269721
"24","aa",2019,"aa_2019",26,1.24359683860324,1.91592346392126,2.73121821694818,0.379495249577791
"25","ce",2012,"ce_2012",7,0.362162515950533,0.633446992487806,0.979323573624008,0.157439045324866
"26","ce",2013,"ce_2013",11,0.843885242734312,2.32833139897908,4.5527881230569,0.946148693959844
"27","ce",2014,"ce_2014",14,0.864001390868818,2.50903161273562,5.01537151112731,1.05902298986186
"28","ce",2015,"ce_2015",16,0.435508876011684,0.76814542535554,1.19361190616709,0.193393630141685
"29","ce",2016,"ce_2016",14,0.727712552782554,1.41292486099937,2.32166290576568,0.406619988005901
"30","ce",2017,"ce_2017",19,0.714877980534772,1.29158674795218,2.0360481766132,0.337033213285314
"31","ce",2018,"ce_2018",18,0.444177616651273,1.28441641056365,2.56284397143968,0.540476110915411
"32","ce",2019,"ce_2019",18,0.381939590441799,0.803467922971324,1.3790837308158,0.25437350519745
"33","cu",2007,"cu_2007",5,0.17716288749524,0.33545719469546,0.543440572993931,0.0934381850761967
"34","cu",2008,"cu_2008",7,0.657598806412982,1.07104258651785,1.58369437178806,0.236248868718132
"35","cu",2009,"cu_2009",5,0.537583800360392,0.895329651635631,1.342838566216,0.205422134146838
"36","cu",2011,"cu_2011",9,0.394766626271379,0.785346643058895,1.30800013660658,0.232967732228367
"37","di",2013,"di_2013",12,0.507936067045065,1.12473656812755,1.98251769389648,0.376168782360054
"38","di",2017,"di_2017",9,0.28653683832491,0.879576322788571,1.7992364901704,0.385892768327931
"39","di",2019,"di_2019",14,0.292151494526597,0.776300180230553,1.49287658011446,0.306307419792822
"40","ff",2002,"ff_2002",28,2.48721633356922,4.64135524975344,7.45626838158615,1.26761531837167
"41","ff",2003,"ff_2003",32,1.67602363683471,2.01247526617276,2.37924514147061,0.179393240978547
"42","ff",2004,"ff_2004",34,2.16681888128417,2.50072172209691,2.8582015847764,0.176373138645977
"43","ff",2005,"ff_2005",34,2.5548088822002,3.01972511232757,3.52293152475942,0.246970061877352
"44","ff",2006,"ff_2006",39,4.07282723782153,4.85360621410604,5.7018390395045,0.415564235123206
"45","ff",2007,"ff_2007",38,3.16214448592664,3.89781932627749,4.7092800738747,0.394677445905118
"46","ff",2008,"ff_2008",20,2.16630133413981,2.91130027486516,3.7647059891412,0.407756289541172
"47","ff",2009,"ff_2009",18,1.50893468579356,1.97765987009145,2.50881321103999,0.255071052358783
"48","ff",2010,"ff_2010",19,0.97608617613511,1.70895506236429,2.64369378128579,0.425410103354764
"49","ff",2011,"ff_2011",22,1.8499473516742,2.42868014257036,3.08497089186608,0.315057025559153
"50","ff",2012,"ff_2012",23,0.63205009601548,1.02699455253627,1.51624842569212,0.225560798386898
"51","ff",2013,"ff_2013",20,0.616532679277746,1.06579865728134,1.63601050703958,0.260070874429039
"52","ff",2015,"ff_2015",16,1.18808543580871,2.04009674084268,3.11866748557699,0.492495420859256
"53","ff",2016,"ff_2016",10,0.642451052189206,1.28211517130494,2.1390670300953,0.381789790282167
"54","ff",2017,"ff_2017",16,0.430731714732112,0.814989084649611,1.31972733018021,0.226784595777575
"55","ff",2018,"ff_2018",17,0.783895610916073,1.63836760632428,2.80246485851781,0.51494113459228
"56","ff",2019,"ff_2019",19,0.68443576865979,1.07744086563222,1.55817869205639,0.222893602907297
"57","fl",2003,"fl_2003",10,4.11104828264726,7.32297426764532,11.4468320793839,1.87137341753485
"58","fl",2004,"fl_2004",11,1.9971095323585,2.56760473991775,3.20868542364467,0.309075482470962
"59","fl",2005,"fl_2005",15,4.09803645754968,5.25627412140321,6.55647346443228,0.627152297674134
"60","fl",2006,"fl_2006",17,3.76265469738436,5.28671783505902,7.06588514382376,0.842660828173318
"61","fl",2007,"fl_2007",19,2.92970503570064,3.97612181319194,5.17986065816395,0.574019291444722
"62","fl",2008,"fl_2008",21,3.06659279077407,4.76279428585873,6.82641613360154,0.95913860786415
"63","fl",2009,"fl_2009",17,2.49147547254127,3.43101389328728,4.51853768706248,0.517107707786023
"64","fl",2010,"fl_2010",16,1.03923083682996,1.77070729154348,2.69390620248808,0.422111062667889
