"","p1","p2","overlap_uds"
"1","aa_1991","aa_1991",1
"2","aa_1991","aa_1992",0.96634656535677
"3","aa_1991","aa_1993",0.959252713273406
"4","aa_1991","aa_1997",0.577330728660558
"5","aa_1991","aa_1999",0.744323109599495
"6","aa_1991","aa_2001",0.580188063625975
"7","aa_1991","aa_2002",0.634496979967458
"8","aa_1991","aa_2003",0.703679095957741
"9","aa_1991","aa_2004",0.764833513820206
"10","aa_1991","aa_2005",0.772924690701789
"11","aa_1991","aa_2006",0.616173733490243
"12","aa_1991","aa_2007",0.638904402797822
"13","aa_1991","aa_2008",0.644767549231027
"14","aa_1991","aa_2009",0.626810347035653
"15","aa_1991","aa_2010",0.714924590678354
"16","aa_1991","aa_2011",0.759367917587873
"17","aa_1991","aa_2012",0.696614684119102
"18","aa_1991","aa_2013",0.673744590321989
"19","aa_1991","aa_2014",0.697234716258657
"20","aa_1991","aa_2015",0.614217042346873
"21","aa_1991","aa_2016",0.776724841690323
"22","aa_1991","aa_2017",0.733529203010627
"23","aa_1991","aa_2018",0.576775424023934
"24","aa_1991","aa_2019",0.773825440164426
"25","aa_1991","ce_2012",0.128293730326725
"26","aa_1991","ce_2013",0.17041201200853
"27","aa_1991","ce_2014",0.133233869502151
"28","aa_1991","ce_2015",0.0141372929211794
"29","aa_1991","ce_2016",0.105918531961513
"30","aa_1991","ce_2017",0.135928600672834
"31","aa_1991","ce_2018",0.202252709402419
"32","aa_1991","ce_2019",0.126846028709748
"33","aa_1991","cu_2007",4.95601701471529e-05
"34","aa_1991","cu_2008",0.0211924972101901
"35","aa_1991","cu_2009",0.00928967643548721
"36","aa_1991","cu_2011",0.0191400877050108
"37","aa_1991","di_2013",0.588843494251278
"38","aa_1991","di_2017",0.642375944624604
"39","aa_1991","di_2019",0.581898793079441
"40","aa_1991","ff_2002",0.0309384565544997
"41","aa_1991","ff_2003",0.0278543685564014
"42","aa_1991","ff_2004",0.0298075452790554
"43","aa_1991","ff_2005",0.0402680889727431
"44","aa_1991","ff_2006",0.0485970095819549
"45","aa_1991","ff_2007",0.0741894153102158
"46","aa_1991","ff_2008",0.16137495011159
"47","aa_1991","ff_2009",0.0599352480436476
"48","aa_1991","ff_2010",0.0834147736249777
"49","aa_1991","ff_2011",0.0843700194822412
"50","aa_1991","ff_2012",0.0745571378203679
"51","aa_1991","ff_2013",0.0536769013367592
"52","aa_1991","ff_2015",0.0781160153364858
"53","aa_1991","ff_2016",0.038427364551901
"54","aa_1991","ff_2017",0.0392946659896738
"55","aa_1991","ff_2018",0.0773823978730651
"56","aa_1991","ff_2019",0.0287901132564938
"57","aa_1991","fl_2003",0.438131992061578
"58","aa_1991","fl_2004",0.0516390120007761
"59","aa_1991","fl_2005",0.108772734005506
"60","aa_1991","fl_2006",0.0282708811904563
"61","aa_1991","fl_2007",0.0313073598828253
"62","aa_1991","fl_2008",0.0214889443077559
"63","aa_1991","fl_2009",0.034423076917301
"64","aa_1991","fl_2010",0.001767036726681
"65","aa_1991","fl_2011",0.00181202925191702
"66","aa_1991","fl_2012",0.0051616388011966
"67","aa_1991","fl_2013",0.00344023645583545
"68","aa_1991","fl_2014",0.00355009217452026
"69","aa_1991","fl_2015",0.00500130370986831
"70","aa_1991","fl_2016",0.00782682356132721
"71","aa_1991","fl_2017",0.0386379787336351
"72","aa_1991","fl_2018",0.0128833009867371
"73","aa_1991","fl_2019",0.00864143382800777
"74","aa_1991","mk_2004",0.416951280188699
"75","aa_1991","mk_2005",0.212189643603795
"76","aa_1991","mk_2006",0.149733604750054
"77","aa_1991","mk_2007",0.359460420056126
"78","aa_1991","mk_2008",0.13805326846989
"79","aa_1991","mk_2009",0.0384237881370909
"80","aa_1991","mk_2011",0.096922125237106
"81","aa_1991","mk_2012",0.191076105769797
"82","aa_1991","mk_2013",0.101726029807889
"83","aa_1991","mk_2017",0.0616953103356891
"84","aa_1991","mk_2019",0.0142868693383536
"85","aa_1991","nm_2009",0.330168286316723
"86","aa_1991","nm_2010",0.438904928320738
"87","aa_1991","nm_2011",0.582066804566117
"88","aa_1991","nm_2012",0.59679851664679
"89","aa_1991","nm_2013",0.641566662307337
"90","aa_1991","nm_2014",0.25742091324788
"91","aa_1991","nm_2015",0.571634663124434
"92","aa_1991","nm_2016",0.655969560322198
"93","aa_1991","nm_2017",0.318056262878391
"94","aa_1991","rf_2007",6.28603648895535e-05
"95","aa_1991","rf_2008",0.000364028294389688
"96","aa_1991","rf_2009",2.88022971902567e-05
"97","aa_1991","rf_2010",0.0019592702778597
"98","aa_1991","rf_2011",1.04336495738573e-05
"99","aa_1991","rf_2012",0.00056939996325137
"100","aa_1991","rf_2016",0.0115122262893279
"101","aa_1991","rf_2017",0.00958252498440577
"102","aa_1991","rf_2018",0.0126010117011275
"103","aa_1991","rf_2019",0.00960149631000676
"104","aa_1991","rr_1997",0.894431381263583
"105","aa_1991","rr_1999",0.871035800598131
"106","aa_1991","rr_2001",0.948357670697696
"107","aa_1991","rr_2002",0.835061786226978
"108","aa_1991","rr_2003",0.851354439982748
"109","aa_1991","rr_2004",0.906752745452076
"110","aa_1991","rr_2005",0.942698574417632
"111","aa_1991","rr_2006",0.932103216170326
"112","aa_1991","rr_2007",0.92437884028475
"113","aa_1991","rr_2008",0.91557015462366
"114","aa_1991","rr_2009",0.920770809532639
"115","aa_1991","rr_2010",0.890955306542387
"116","aa_1991","rr_2011",0.781460853521907
"117","aa_1991","rr_2012",0.817081900810338
"118","aa_1991","rr_2013",0.847251787049402
"119","aa_1991","rr_2014",0.956912551412833
"120","aa_1991","rr_2015",0.903144468073245
"121","aa_1991","rr_2017",0.860637324173215
"122","aa_1991","rr_2018",0.885015317532789
"123","aa_1991","rr_2019",0.818283053110072
"124","aa_1991","sp_2009",0.466373834180454
